$ bin/fm-orphan-sweep.sh --dry-run   # real box, default roots, read-only (2026-09-08T23:29:33Z)
orphan sweep: would have removed tmp entry /tmp/sweep-after-numbers.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/sweep-run.txt (32K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/sweep-before-numbers.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-prompt2.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/p1.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-raw.txt (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/td-full.out (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr473.diff (68K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit2.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit2-prompt.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit2-path (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rtm473-audit2.GKVhhP (143M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/new-head (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t-fm-tangle-guard.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t-fm-spawn-worktree-collision.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t-fm-backend.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t-fm-spawn-batch.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t-fm-gotmp.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/build-final3.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/build-final2.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/TestRecoveryReportsOnlyExactNoncontiguousMissingSequenceRanges927192215 (8.0K, older than 2 days, nothing is using it)
